app_id,functionality
AR-toolkit-decoded,Eye-Tracking Enablement
AR-toolkit-decoded,Foveated Rendering
AR-toolkit-decoded,Raw Data Collection
CapuCompany-decoded,Eye-Tracking Enablement
CapuCompany-decoded,Foveated Rendering
CapuCompany-decoded,Raw Data Collection
Convai-animation-capture-decoded,Eye-Tracking Enablement
Convai-animation-capture-decoded,Foveated Rendering
Convai-animation-capture-decoded,Raw Data Collection
Mixreal-AI-decoded,Eye-Tracking Enablement
Mixreal-AI-decoded,Foveated Rendering
Neao-group-therapy-decoded,Biometric Signals & Metrics
Neao-group-therapy-decoded,Eye-Tracking Enablement
Neao-group-therapy-decoded,Foveated Rendering
Neao-group-therapy-decoded,Raw Data Collection
ShapesXR-decoded,Biometric Signals & Metrics
ShapesXR-decoded,Eye-Tracking Enablement
ShapesXR-decoded,Foveated Rendering
ShapesXR-decoded,Raw Data Collection
Sketchar-AR-drawing-painting-tracing-decoded,Eye-Tracking Enablement
Sketchar-AR-drawing-painting-tracing-decoded,Foveated Rendering
Sketchar-AR-drawing-painting-tracing-decoded,Raw Data Collection
SkillsVR-empowered-reality-decoded,Biometric Signals & Metrics
SkillsVR-empowered-reality-decoded,Eye-Tracking Enablement
SkillsVR-empowered-reality-decoded,Foveated Rendering
SkillsVR-empowered-reality-decoded,Gaze Geometry
SkillsVR-empowered-reality-decoded,Raw Data Collection
Spirit-Sling-Tabletop-decoded,Biometric Signals & Metrics
Spirit-Sling-Tabletop-decoded,Eye-Tracking Enablement
Spirit-Sling-Tabletop-decoded,Foveated Rendering
Spirit-Sling-Tabletop-decoded,Raw Data Collection
StageTime-decoded,Eye-Tracking Enablement
StageTime-decoded,Foveated Rendering
StageTime-decoded,Raw Data Collection
Steam-Link-decoded,Eye-Tracking Enablement
Steam-Link-decoded,Foveated Rendering
TechniCapture-decoded,Eye-Tracking Enablement
TechniCapture-decoded,Foveated Rendering
TechniCapture-decoded,Raw Data Collection
VirtualSpeech-decoded,Eye-Tracking Enablement
VirtualSpeech-decoded,Foveated Rendering
arkio-decoded,Biometric Signals & Metrics
arkio-decoded,Eye-Tracking Enablement
arkio-decoded,Foveated Rendering
arkio-decoded,Raw Data Collection
arthur-decoded,Biometric Signals & Metrics
arthur-decoded,Eye-Tracking Enablement
arthur-decoded,Foveated Rendering
arthur-decoded,Raw Data Collection
calculator-two-memory-cells-decoded,Eye-Tracking Enablement
calculator-two-memory-cells-decoded,Foveated Rendering
endless-climber-decoded,Eye-Tracking Enablement
endless-climber-decoded,Foveated Rendering
endless-climber-decoded,Raw Data Collection
gravity-sketch-decoded,Biometric Signals & Metrics
gravity-sketch-decoded,Eye-Tracking Enablement
gravity-sketch-decoded,Foveated Rendering
gravity-sketch-decoded,Raw Data Collection
immersed-decoded,Biometric Signals & Metrics
immersed-decoded,Eye-Tracking Enablement
immersed-decoded,Foveated Rendering
immersed-decoded,Gaze Geometry
immersed-decoded,Raw Data Collection
mazer-decoded,Eye-Tracking Enablement
mazer-decoded,Foveated Rendering
mazer-decoded,Gaze Geometry
mazer-decoded,Raw Data Collection
new-arthur-decoded,Biometric Signals & Metrics
new-arthur-decoded,Eye-Tracking Enablement
new-arthur-decoded,Foveated Rendering
new-arthur-decoded,Raw Data Collection
new-technicapture-decoded,Eye-Tracking Enablement
new-technicapture-decoded,Foveated Rendering
new-technicapture-decoded,Raw Data Collection
rival-decoded,Eye-Tracking Enablement
rival-decoded,Foveated Rendering
rival-decoded,Raw Data Collection
tempo-path-decoded,Eye-Tracking Enablement
tempo-path-decoded,Foveated Rendering
tempo-path-decoded,Raw Data Collection
virtual-book-reader-decoded,Eye-Tracking Enablement
virtual-book-reader-decoded,Foveated Rendering
worlds-decoded,Biometric Signals & Metrics
worlds-decoded,Eye-Tracking Enablement
worlds-decoded,Foveated Rendering
zenoteVR-decoded,Eye-Tracking Enablement
zenoteVR-decoded,Foveated Rendering
